file,line,status
src/main/java/MorphologicalAnalysis/Transition.java,317,NOT_COVERED
src/main/java/MorphologicalAnalysis/Transition.java,318,EMPTY
src/main/java/MorphologicalAnalysis/Transition.java,319,EMPTY
src/main/java/MorphologicalAnalysis/Transition.java,320,NOT_COVERED
src/main/java/MorphologicalAnalysis/Transition.java,321,NOT_COVERED
src/main/java/MorphologicalAnalysis/Transition.java,322,EMPTY
src/main/java/MorphologicalAnalysis/Transition.java,323,EMPTY
src/main/java/MorphologicalAnalysis/Transition.java,324,NOT_COVERED
src/main/java/MorphologicalAnalysis/Transition.java,325,NOT_COVERED
src/main/java/MorphologicalAnalysis/Transition.java,326,EMPTY
src/main/java/MorphologicalAnalysis/Transition.java,327,EMPTY
src/main/java/MorphologicalAnalysis/Transition.java,328,NOT_COVERED
src/main/java/MorphologicalAnalysis/Transition.java,329,NOT_COVERED
